hour_of_year,demand_wh,wind_speed_ms,egen_wh,deficit_wh,generator_output_wh
8329,304437.1880182899,3.7057988365560846,91401.94317899554,213035.24483929438,213035.24483929438
8330,309182.5694391121,3.9821634955534875,123902.42707709012,185280.14236202196,185280.14236202196
8331,321806.29266100004,4.208280034733181,157158.69319608388,164647.59946491616,164647.59946491616
8332,320801.3396792078,4.321338304323027,174072.21032672486,146729.12935248297,146729.12935248297
8333,313924.092155272,4.4092725140040185,187227.1680950012,126696.92406027083,126696.92406027083
8334,380719.9597280589,4.5223307835938655,204873.13492752108,175846.8248005378,175846.8248005378
8335,423911.6386006532,4.534892813548293,207164.44919120864,216747.18940944457,216747.18940944457
8336,394169.6171620986,4.69819920295585,236951.53461914707,157218.0825429515,157218.0825429515
8337,360013.49095936795,4.283652214459745,168434.37128317787,191579.11967619008,191579.11967619008
8338,415790.3145577218,3.4294341775586816,60990.20762516399,354800.10693255777,354800.10693255777
8339,445042.4807741738,2.4370338111589165,0.0,445042.4807741738,445042.4807741738
8340,469144.3529972143,1.6205018641211353,0.0,469144.3529972143,469144.3529972143
8341,361968.6249988728,1.457195474713579,0.0,361968.6249988728,361968.6249988728
8342,363338.938214733,1.9596766728906752,0.0,363338.938214733,363338.938214733
8343,362035.6786436068,2.512405990885481,575.6379770863184,361460.0406665205,361460.0406665205
8344,347145.3110301748,2.889266889518303,18061.983673649265,329083.3273565255,329083.3273565255
8345,487369.1408027468,3.1153834286979962,33353.741725423664,454015.39907732315,454015.39907732315
8346,482787.799155758,3.4671202674219637,64306.583533132805,418481.2156226252,418481.2156226252
8347,471209.893117931,3.517368387239673,69242.52233938556,401967.3707785454,401967.3707785454
8348,412485.7683312823,3.316375907968835,51041.079901257486,361444.68843002483,361444.68843002483
8349,443461.4548605121,2.914390949427158,19227.740053420122,424233.714807092,424233.714807092
8350,420764.16866777296,2.32397554156907,0.0,420764.16866777296,420764.16866777296
8351,349660.51521132706,1.6456259240299902,0.0,349660.51521132706,349660.51521132706
8352,297633.98943309655,1.98480073279953,0.0,297633.98943309655,297633.98943309655
8353,317189.75711323775,3.1153834286979962,33353.741725423664,283836.0153878141,283836.0153878141
8354,291741.40381143056,4.145469884961043,147762.2947901721,143979.10902125845,143979.10902125845
8355,327851.5653352659,4.936877772089971,280486.5056292106,47365.05970605527,47365.05970605527
