hour_of_year,demand_wh,wind_speed_ms,egen_wh,delta_e_wh,block_id,battery_soc_wh
4199,372406.6698266369,9.142373558504051,856497.7303160174,484091.0604893805,416,98000000.0
4200,373598.2115465574,9.072584447370433,845861.869779254,472263.6582326966,416,98000000.0
4201,480620.9228241635,8.23511511376701,684974.1738910723,204353.25106690876,416,98000000.0
4202,474826.6089459225,7.851275002532106,602821.0105580763,127994.4016121538,416,98000000.0
4203,373653.6062895685,8.095536891499771,655662.7472149519,282009.1409253834,416,98000000.0
4204,366371.9437240127,8.13043144706658,662990.6038839819,296618.66015996924,416,98000000.0
4205,391345.2753682066,7.572118557997631,541294.9301826778,149949.6548144712,416,98000000.0
4206,1422326.9,7.641907669131249,556676.4502765272,-865650.4497234727,417,97134349.55027653
4207,497190.82988828135,7.572118557997631,541294.9301826778,44104.100294396456,418,97178453.65057093
4208,489067.676424122,7.362751224596776,498554.1395311294,9486.463107007381,418,97187940.11367793
4209,458498.0752733816,7.572118557997631,541294.9301826778,82796.8549092962,418,97270736.96858723
4210,444792.80201255385,7.746591335831678,579748.7304173018,134955.92840474792,418,97405692.89699198
4211,570176.4519051004,7.572118557997631,541294.9301826778,-28881.521722422563,419,97376811.37526956
4212,492190.18996299285,8.16532600263339,670318.4605530121,178128.27059001924,420,97554939.64585958
4213,519203.6237628995,8.444482447167864,728941.3139052514,209737.69014235196,420,97764677.33600193
4214,502477.80162754207,9.072584447370433,845861.869779254,343384.0681517119,420,98000000.0
4215,503765.32856850815,9.386635447471717,893723.2421946897,389957.91362618154,420,98000000.0
4216,568029.0906624321,9.77047555870662,941617.8332455894,373588.74258315726,420,98000000.0
4217,506205.1302147645,10.154315669941525,977599.6554122109,471394.52519744635,420,98000000.0
4218,1380059.8506231706,9.87515922540705,953468.024316078,-426591.82630709256,421,97573408.17369291
4219,503906.0437676163,9.351740891904909,888405.3119263081,384499.26815869176,422,97957907.4418516
4220,470790.6214327599,8.933006225103197,822178.3728094423,351387.7513766824,422,98000000.0
4221,446321.962843834,8.270009669333819,692302.030560102,245980.06771626795,422,98000000.0
4222,494063.0438669767,8.72363889170234,782733.5671967207,288670.52332974406,422,98000000.0
4223,505477.5560377927,8.898111669536387,815604.2385406554,310126.68250286265,422,98000000.0
4224,520396.3921628223,9.491319114172146,909677.0329998351,389280.6408370128,422,98000000.0
4225,467746.814068098,9.107479002937243,851179.8000476358,383432.98597953777,422,98000000.0
4226,487351.87453329953,9.142373558504051,856497.7303160174,369145.8557827179,422,98000000.0
4227,365897.4840512794,9.21216266963767,867133.5908527811,501236.1068015017,422,98000000.0
4228,371954.7510899204,9.526213669738956,913967.3874144498,542012.6363245294,422,98000000.0
4229,370262.02940719295,9.316846336338099,883087.3816579262,512825.3522507333,422,98000000.0
4230,1306836.3860569685,9.944948336540667,961368.1516964036,-345468.23436056485,423,97654531.76563944
4231,450694.9143022329,9.73558100313981,937667.7695554266,486972.85525319364,424,98000000.0
4232,452394.3587262821,9.107479002937243,851179.8000476358,398785.4413213537,424,98000000.0
4233,483794.1883529901,9.072584447370433,845861.869779254,362067.6814262639,424,98000000.0
4234,449881.0692203337,9.002795336236815,835226.0092424906,385344.9400221569,424,98000000.0
4235,593901.2046281595,8.967900780670005,828752.507078229,234851.30245006946,424,98000000.0
4236,465173.4078504341,9.107479002937243,851179.8000476358,386006.3921972017,424,98000000.0
4237,454041.1761331646,9.177268114070863,861815.6605843995,407774.48445123486,424,98000000.0
4238,520474.16814225336,9.142373558504051,856497.7303160174,336023.56217376405,424,98000000.0
4239,492107.6823186666,9.107479002937243,851179.8000476358,359072.1177289692,424,98000000.0
4240,511204.85666098393,9.177268114070863,861815.6605843995,350610.80392341554,424,98000000.0
4241,500350.6328512167,9.910053780973858,957418.0880062408,457067.4551550241,424,98000000.0
4242,1340044.148795314,10.084526558807905,973077.3210107522,-366966.82778456167,425,97633033.17221543
4243,536841.8648302602,9.28195178077129,877769.4513895446,340927.5865592845,426,97973960.75877471
4244,532761.3617212186,8.409587891601056,721613.4572362219,188852.0955150033,426,98000000.0
4245,470344.3792248901,7.8163804469652955,595130.2505111512,124785.87128626107,426,98000000.0
4246,475856.26987928734,7.711696780264869,572057.970370377,96201.7004910896,426,98000000.0
4247,456402.6121698887,6.03675811305802,273625.4974873637,-182777.114682525,427,97817222.88531747
4248,490058.7604978503,6.350809113159303,319979.42510231317,-170079.33539553714,427,97647143.54992194
4249,448887.2958720592,6.699754668827397,376197.9993032503,-72689.2965688089,427,97574454.25335313
4250,472286.2655580909,7.0835947800623,443951.13898018585,-28335.12657790503,427,97546119.12677523
4251,390606.0595820172,7.153383891195919,457601.8891179217,66995.82953590452,428,97613114.95631114
4252,399403.30049791926,7.572118557997631,541294.9301826778,141891.62968475855,428,97755006.5859959
4253,347232.1661564801,8.374693336034246,714285.6005671917,367053.43441071163,428,98000000.0
4254,383366.2488438922,7.990853224799343,633584.0507457752,250217.80190188304,428,98000000.0
4255,357257.38800372614,7.327856669029965,491728.7644622612,134471.3764585351,428,98000000.0
4256,376805.2735691349,7.118489335629109,450776.51404905366,73971.24047991878,428,98000000.0
4257,412604.4535830679,7.397645780163584,505379.514599997,92775.0610169291,428,98000000.0
4258,438235.48163619946,7.67680222469806,564367.2103234524,126131.72868725291,428,98000000.0
4259,523465.6340020741,7.048700224495491,437125.76391131803,-86339.87009075604,429,97913660.12990925
4260,484034.7114127553,7.502329446864012,525913.4100888282,41878.698676072876,430,97955538.82858533
4261,427702.2089121628,7.7814858913984875,587439.4904642267,159737.28155206388,430,98000000.0
4262,1147218.3621079044,7.7814858913984875,587439.4904642267,-559778.8716436777,431,97440221.12835632
4263,546651.4924662356,8.025747780366153,641007.0338768922,94355.54141065653,432,97534576.66976698
4264,447856.9936645763,7.990853224799343,633584.0507457752,185727.0570811989,432,97720303.72684817
4265,527646.3071628044,7.467434891297203,519030.2647377329,-8616.04242507153,433,97711687.6844231
4266,510437.2136120566,7.432540335730394,512204.889668865,1767.6760568083846,434,97713455.3604799
4267,492176.652384045,7.2231730023295375,471252.6392556575,-20924.01312838751,435,97692531.34735152
4268,529923.4776242101,7.2231730023295375,471252.6392556575,-58670.83836855256,435,97633860.50898297
4269,493831.27495298046,7.2231730023295375,471252.6392556575,-22578.635697322956,435,97611281.87328565
